run,seed,val_MSE,val_RMSE,val_MAE,epochs,time
1,42,242.30915322520954,15.566282575657219,13.116467947048614,16,5.236236095428467
2,49,48.18943584481476,6.941861122553141,5.579717507595485,37,9.222880125045776
3,464,6751.639252888315,82.16835919554629,80.56895073784722,10,4.291629076004028
4,192,60200.120132004056,245.35712773833177,244.067003648546,10,4.158644914627075
5,2996,24198.551405290986,155.5588358316267,151.93753526475695,10,3.940850257873535
6,240,3402.2185361810043,58.32853963696506,56.078770073784725,10,4.311781167984009
7,64,3115.8313238791875,55.819632065064596,52.3521204969618,10,4.057855129241943
8,24,3797.5270254539037,61.624078292935984,55.32450272894965,10,4.386677980422974
9,304,60010.1977242686,244.969789411406,243.67761461046007,10,3.9205119609832764
10,2962,19828.166167432995,140.81252134463395,139.1425481499566,10,4.002694845199585
11,275,4347.757417015302,65.9375266219116,64.67878770616319,10,3.923440933227539
12,37,2598.9255309821096,50.97965801162371,48.94841620551215,10,3.983902931213379
13,61,12096.540541305332,109.98427406363753,107.66388495551216,10,4.134361982345581
14,5886,11361.560627564966,106.59062166797305,105.25869656032987,10,4.02272891998291
15,51,8769.278010291937,93.64442327384977,91.42353461371528,10,4.007245779037476
16,68,19389.82855808371,139.24736463604512,137.7490939670139,10,4.170309066772461
17,9322,18743.948044924888,136.908538977395,134.9597384982639,10,4.144427061080933
18,50,2743.244278568939,52.375989523530144,51.660753851996525,10,4.078840017318726
19,22,4754.926853881729,68.95597765155483,67.13028537326389,10,4.14454197883606
20,1125,2096.1771658955263,45.784027410173586,43.79178860134549,10,4.295903921127319
21,85,6879.1510283245025,82.94064762421682,80.01267062717014,10,4.017210006713867
22,117,3823.6611870825323,61.835759776059454,59.70294460720486,10,3.9473421573638916
23,1481,12899.810917452292,113.57733452345275,112.26718505859375,10,4.024228811264038
24,70,3879.3588879591493,62.28449958022581,59.06073581271701,10,3.9760451316833496
25,46,7526.2480515815305,86.75395121596209,84.75028225368924,10,4.004840135574341
26,2328,3643.7177201829427,60.36321495897102,58.00510240342882,10,4.2101218700408936
27,74,5667.714359768066,75.2842238438311,69.96254858398437,10,4.444602966308594
28,62,60975.79579227989,246.9327758566689,245.65092698838976,10,4.033459901809692
29,69184,16933.159940809972,130.12747573364348,128.22920247395834,10,3.9843270778656006
30,58,3846.146218821846,62.017305801057226,57.31334330512153,10,4.042041063308716
31,91,4115.934675961929,64.15555062472716,62.53679796006944,10,4.063265085220337
32,113,2360.896177643403,48.58905409290659,46.23375339084201,10,3.976480007171631
