top_rank,run,seed,val_MSE,val_RMSE,val_MAE
1,2,49,48.18943584481476,6.941861122553141,5.579717507595485
2,1,42,242.30915322520954,15.566282575657219,13.116467947048614
3,166,532,333.9666570754454,18.274754637899942,14.210365294053817
4,135,156,346.3170809669296,18.609596475123517,16.771915999348963
5,45,1862,450.1746018091888,21.21731844058501,17.24976191948785
